N,R,T,M,A,$\langle d \rangle$,S_am,max,$s_a$,$s_g$
537827,0.11631017001017249,0.036777679007958065,0.5789364767048707,0.14645747432323802,4.5613,10000,155,0.10724910371529231,0.6143534341438861
536569,0.28609993852396876,0.0374933804794224,0.5758076665203257,0.12399473202217552,4.5093,10000,186,0.42634605857927604,1.3079345214351261
537562,0.11627419412642008,0.03827965683513957,0.5786482291448516,0.12138986730758784,4.563469387755102,9800,191,0.32845470997794385,1.3438046105587511
536658,0.2859987649658298,0.03763005225956656,0.577105915132112,0.12398358265921014,4.517722878625134,9310,189,0.4243075402450839,1.3142258300393526
537743,0.11649694136068788,0.03686060358724158,0.5800363712763636,0.14631953519280902,4.595959595959596,9900,176,0.10803159844778802,0.5990782293393038
536710,0.2857600284498943,0.0354893883913524,0.575437036985027,0.15159341253323272,4.573283858998145,9702,156,0.17779935896540916,0.5849803222636412
536831,0.28612309541465997,0.035750818228901166,0.5763742131207411,0.15235086431016306,4.515555555555555,9900,132,0.16818552762391026,0.5579255382938997
534991,0.5672579484648911,0.00023905219818508216,0.3845679615923081,0.20343717195553843,4.327373737373738,9900,86,-0.1946090043789519,0.2514976334646598
534975,0.5667511158037508,0.000239809271294276,0.38453251414827067,0.20325984408412875,4.328592042877757,9702,82,-0.19430464044798607,0.246897252619782
533799,0.7395190258667983,0.0002290922640699998,0.38586021028807116,0.20292952771711173,4.306499336802367,9801,87,-0.15643009327824978,0.25560643886173207
534896,0.5671380288523831,0.00024037040288549117,0.38454568901259223,0.2031571116424343,4.458989898989899,9900,87,-0.19135168303729608,0.2329269406170451
533785,0.7395478341415272,0.0002299807835888713,0.385695955770995,0.2033040178861601,4.382323232323232,9900,87,-0.15729796578053934,0.22611474477295385
534945,0.5670990205186592,0.0002377706532984592,0.3845176162635536,0.20325386604948628,4.341,10000,93,-0.19224273888576004,0.24204160718652934
533811,0.7395545882346455,0.0002287514928425491,0.38576423887433225,0.20301814109302893,4.3619,10000,84,-0.1577680158211535,0.23398826000151954
533804,0.7394215739518061,0.0002291894680963215,0.3857546357862773,0.20318667109832697,4.3044,10000,87,-0.1578682332269408,0.25225637852744415
536470,0.3477085705306512,0.03462784502943289,0.5775497012184513,0.16403588784191195,4.49469387755102,9800,159,0.10080692243460511,0.28998696175231065
536342,0.3480199480072669,0.03483748081722693,0.5760646842300021,0.16208768543682028,4.558514437302316,9801,176,0.1162694697663664,0.32689109751181583
535275,0.5189321365264112,0.03413752778725144,0.5758024245536338,0.1650159776913582,4.530505050505051,9900,137,0.1503777547328685,0.2948154639470784
536593,0.3298216643739507,0.000256717766178382,0.38291475950683024,0.20314456097463385,4.366224489795918,9800,89,-0.24585603146647067,0.23701815277680624
535368,0.5041718241289287,0.00024332335867177228,0.38404263738517863,0.20325981259891543,4.335612244897959,9800,92,-0.20750441416763393,0.22459407173785387
536464,0.3298940296573607,0.00025711727857088187,0.3827928680753567,0.20337626965141675,4.316767676767677,9900,86,-0.24406004922357516,0.2595361579169247
535239,0.5185681046912001,0.033904176328160306,0.5749843979828267,0.16134777594270389,4.5509162848813,9604,154,0.18179553624234676,0.36033605681888065
535289,0.5042801652960912,0.00024432447883159707,0.38415925147922264,0.20334281947842242,4.3055,10000,81,-0.207227328016711,0.2620590132034571
537568,0.1160394549309015,0.0383869701457321,0.5782003082079555,0.1216386948355585,4.566836734693878,9800,186,0.9729843550167708,1.6043861187806994
537771,0.11658984460072283,0.03683098499662971,0.5786293050205294,0.14561197855920235,4.578881599500156,9603,170,0.5774543819160363,0.7064446568695262
536612,0.2862620367588072,0.0376034684848185,0.5774032545802477,0.12396265902176055,4.551938775510204,9800,198,0.9661707859292323,1.5922650077728322
537521,0.116195488265797,0.03819150562282242,0.5776870930707978,0.12180021143423941,4.626093294460642,9604,204,0.9713583939159969,1.5149053305495574
536699,0.2858202639334184,0.03737662340238721,0.5760007227311124,0.12384063569719864,4.578308335884094,9801,185,0.9654432372422909,1.5219017189504411
537805,0.11648426020626174,0.036776142708655854,0.5787795467936724,0.14693361613590628,4.551938775510204,9800,177,0.5713676360143196,0.6695178220779593
536676,0.2858383207946122,0.035805433138729234,0.576803727145087,0.1504221821113723,4.524840239125953,9702,174,0.5786054070437365,0.6917548318189026
536704,0.2863418453285108,0.035830511429024534,0.5770778733786309,0.1512078659300828,4.5452,10000,164,0.5639105499884415,0.7046669764427029
535022,0.567363119343447,0.00024048631001071433,0.38453743624592684,0.20349580706187465,4.405051546391753,9700,80,-0.10892084302274735,0.3223756110558965
534908,0.5672025373335943,0.00023932708385625753,0.38454551968188505,0.2029843560611522,4.3902,10000,84,-0.10571837038065575,0.36343727325303765
533786,0.7392489999807026,0.0002307185448397931,0.3855533388552686,0.2030284922081642,4.405366799306194,9801,84,-0.09814369632407498,0.348490572088461
534858,0.567296956798615,0.00023878591156043985,0.3845021183480715,0.2033862955847953,4.358686868686869,9900,88,-0.10656936309429096,0.339903163050248
533790,0.7393343220958088,0.00022812420142091176,0.3857553679348242,0.20352556227694107,4.40010101010101,9900,84,-0.09866156312868178,0.3385721369729958
534904,0.5671964724336513,0.0002397624065262361,0.38446681638211433,0.2029809247951471,4.285920428777572,9702,85,-0.10630093848721837,0.34481546846896144
533809,0.739413165795067,0.0002313253638589489,0.38571385166349453,0.2035013859400122,4.3652,10000,84,-0.09440448113179264,0.33265365311205497
533860,0.739471058021795,0.00022691183393655585,0.3858123303375409,0.20321809376103342,4.342727272727273,9900,85,-0.09725308889181539,0.3431373152033883
536532,0.34767259464689876,0.03437842566583421,0.5754474496932732,0.1652301840229481,4.578979591836735,9800,152,0.40465732986893926,0.2865991399845544
536425,0.3476115321315642,0.034652589919090517,0.5760280895469051,0.1631935169885564,4.496530612244898,9800,154,0.41655266504941285,0.36117549793251275
535268,0.518592639968242,0.03374734224389733,0.5752226007308857,0.16429536918874074,4.560808080808081,9900,143,0.38878432852957356,0.2882153757291479
536507,0.3297861020061035,0.0002543409235070834,0.38286341099365223,0.20316780699328701,4.35588205285175,9801,86,-0.12007304918630181,0.3490617773203191
535349,0.5042552165031441,0.0002440489446228134,0.3840539030999619,0.20327723069878822,4.350678502193654,9801,93,-0.11103624226526926,0.32608620737582217
