N,R,T,M,A,S,S_am,max,skew_a,skew_g
570187,0.6392959266137992,0.04038086526469757,0.6551938202626428,0.6087920020919284,7.797180727961288,9506,82,2.196656704222996,0.6749222250903628
554371,0.5590693612095168,0.10897716983605768,0.6968512925691099,0.515787919470632,7.992125110913931,9016,93,2.511501150607785,1.0459494778197027
574937,0.3877703214467249,0.0201122179785855,0.6344597589149202,0.6190848048748155,7.677572059751736,9506,78,2.157255991826995,0.5958814086872707
540156,0.9511746197054232,0.12828720407111316,0.7156709833135204,0.5392244184602276,8.3587,10000,85,2.501121416018969,1.0886085506109935
530298,0.883084476667576,0.168115407603454,0.7340152844881755,0.5083500842188885,8.227448453608247,9312,106,2.7242396052813125,1.2628415164023177
565227,0.14029475675599037,0.08958704692604318,0.6568987654454194,0.45605200796584827,8.33765778401122,8556,142,3.011623439635555,1.4101957247007557
570212,0.7121112785278473,0.02685229843514473,0.6528867542863129,0.6202247527572562,7.635094501718213,9312,77,2.174291225964041,0.6200023519861154
550668,0.4879871802796122,0.13847412801193856,0.7079214590133248,0.4982786281505427,7.909687641466727,8836,114,2.7397529920656187,1.1704154149205157
546284,0.7276413742132211,0.12248608107991266,0.7106571684657624,0.5278145485696211,7.93969298245614,9120,82,2.470433932663931,0.9987162197051014
550507,0.4025762662464424,0.1317113231608944,0.7014113684530685,0.469332616507196,7.9683014354066986,8360,171,2.849360431604691,1.318172105359234
551412,0.3638631202835846,0.13181606340506077,0.7005595975359286,0.45271242599920675,8.096408317580341,8464,232,3.030555518965875,1.3134514044374517
569488,0.3888965642746453,0.07057335098307119,0.6589181784230053,0.5547472937911143,8.24880642361111,9216,80,2.3779033831444396,0.9433414164288952
559441,0.21527305468094124,0.10767471275788765,0.6779388742553036,0.44470380949509053,7.8815207780725025,7917,212,3.1255388435127114,1.5715406150223454
559468,0.1398035346602608,0.1136802961066481,0.6776520132337259,0.4226313672079159,8.485543608124253,8370,158,3.369388056243248,1.641946227440029
517642,0.9525626053521654,0.2182813348045701,0.7508950358642316,0.49660749582566094,8.444657097288676,9405,130,3.0181855092123104,1.623039971784007
574056,0.30493352973230253,0.013967358349051408,0.6296729125295581,0.6219355436646117,7.7308802308802305,9702,76,2.1650176857163084,0.6131618944561039
572504,0.4252603492350693,0.029203967349383776,0.6373253968321768,0.6097418749519082,7.826230205122755,9409,78,2.1925201327103157,0.6629949752900469
571776,0.5606393014371166,0.013688366258331022,0.6422761585242903,0.6256898672137036,7.525455343427693,9114,77,2.167143128676746,0.5791697725522683
557355,0.30765696673371634,0.11971867939861268,0.6911459813087645,0.47178292404589,8.117788461538462,8736,215,3.0364658141928738,1.4704098647628012
558464,0.4038686948969313,0.10319228485250428,0.6851254476339639,0.4912834996640507,8.043128914096656,8463,190,2.7006166499505917,1.124388559018867
574899,0.3879226206928352,0.02008297077672892,0.6347639930674317,0.6189056793917612,7.656037414965986,9408,78,2.165330932292165,0.6260435153923927
563629,0.3662578653458727,0.08688420163081681,0.6711579712994973,0.5141165197259009,7.944685990338164,8280,111,2.547209093841841,1.0700725895371057
554275,0.5595329749561742,0.10913439580532878,0.6959757373567175,0.5185904004796663,8.006311360448807,8556,153,2.5202773495905086,1.0579771655489936
572933,0.4936560203501046,0.03601649819091909,0.646456521016799,0.606948740946666,7.8973,10000,76,2.190259597485795,0.6421711890260874
550638,0.40280505107137593,0.13199335874151238,0.7025633687218618,0.46396546837270564,8.349929709465792,8536,172,2.9039343967122284,1.3289227509625048
528381,0.896632115588796,0.1970601110725692,0.7398822991540939,0.512936123951333,8.424479166666666,8832,99,2.7867332100057274,1.3088172623548173
567777,0.26207287532855744,0.0752355897081129,0.6585313914338804,0.5157095576859939,8.005737508964858,8366,131,2.5562920812556897,1.089425230841324
551423,0.3627606803436483,0.1320623547052968,0.6990660293808494,0.4593298095458067,7.816386161757831,8556,160,2.9152252462531343,1.3603596451897852
548117,0.9659209281330567,0.11352349599159003,0.7030487020570884,0.561987515955421,7.98265483113968,9801,81,2.384181705245761,1.0412931237480965
550782,0.40277568564199084,0.13169582107113403,0.7007661075221095,0.4676003891621663,7.808749701171408,8366,151,2.8413785446661812,1.373237587037987
554134,0.558866336447672,0.10912408196243643,0.695853780345103,0.5159106106724466,8.290226063829786,9024,100,2.517011284879466,1.0479062945563014
567758,0.26135899139139945,0.07518591719472444,0.6537346444203254,0.5181335911008257,7.865587044534413,8645,119,2.5323109445355643,1.0225442935763933
556875,0.30788918290605616,0.12269462304907504,0.6925483157179353,0.4691979751129265,8.042183622828784,8463,214,3.057320589013878,1.3991866657132122
551471,0.36309909577112065,0.1314751931710298,0.7002203207459192,0.4601477602174223,8.051418439716311,8460,182,2.961402525744,1.3496537683011522
548508,0.9657941386650489,0.11341967291624996,0.7028895571004737,0.5614050237866309,7.78642091013225,9603,75,2.379031281329657,1.0179630623673022
563533,0.45955579735931545,0.08352677209819204,0.6701870294689859,0.5355769978210915,7.96409972299169,9025,102,2.435118739380921,0.9683590756995145
547779,0.5528755622707884,0.14606595603484274,0.7118206108683175,0.49767358294381353,8.035024154589372,8280,249,2.73651167922093,1.1525583482370043
566144,0.7465982609897239,0.057510696352147235,0.667293562904084,0.5982097546786473,7.918350168350169,9504,80,2.2198986302070574,0.751284133995321
530903,0.8967043992235382,0.190958394778828,0.7381235119527345,0.515110945796481,8.187569988801792,8930,105,2.749534335152843,1.2803267144928328
556923,0.3651426129457594,0.11853830022806212,0.693369849501379,0.4886142615309961,7.9832826747720365,8554,121,2.8446296388860595,1.304104361103366
553210,0.8757929889469822,0.10343086344427599,0.7014797039084217,0.5633654560464294,8.083064689447669,9306,82,2.362508296812212,0.9826323694332175
560825,0.2591458112754594,0.10019436520526909,0.675816800779425,0.46836151830905204,8.11164236194119,8366,147,2.873960356766033,1.3239992749893703
547935,0.5529215947533721,0.14656199351943283,0.7127352933940765,0.5010387120126485,8.035469107551487,8740,102,2.7107619931131666,1.2188669836990034
531249,0.9663127068669255,0.1679123931396997,0.7327315312503564,0.5280334205635792,7.991578014184397,9024,93,2.627579038629514,1.2239002445500085
566173,0.7464934982846806,0.05752262097150561,0.6675173958400751,0.5978196455714994,7.683919270833333,9216,80,2.22167728256992,0.6987555545123659
529179,0.8829726731276138,0.1733508105029799,0.7362943595070711,0.5045787107518325,8.311043906810037,8928,131,2.7611527027458282,1.2848784747648712
556915,0.367121632723192,0.1183799516627231,0.6925940699945266,0.48540375644595557,7.878502415458938,8280,130,2.859483901512514,1.28249369482954
567755,0.26208440705998365,0.07518282114322583,0.6524257836261744,0.5179324016259131,7.985663082437276,8928,137,2.5382068034074745,1.0430391047466163
548093,0.9599162477097278,0.09947402162363518,0.7033977929801758,0.5643120600811828,7.9802188552188555,9504,78,2.3759685634327474,0.9664762500346878
555580,0.3452391652618692,0.12632252053759155,0.6951620999473141,0.4776941375281541,8.050987654320988,8100,145,2.9426876034730345,1.312220638900426
545214,0.6739060103836303,0.14738008547231798,0.7172691765657286,0.5167910348128313,8.144814311594203,8832,101,2.590846603278982,1.107979249874489
554755,0.4574203213649898,0.11215781414345632,0.6943095703468796,0.4957110650134944,8.055900621118013,8372,124,2.6493341250656806,1.1801514346546764
529328,0.8966910557845178,0.19652521679063256,0.7406075049604858,0.5144813520106974,8.111646136618141,8930,124,2.781117653484837,1.3705966745214127
562262,0.8628626249304489,0.063536276465042,0.6738680399218113,0.5993071978730189,7.70629295532646,9312,76,2.22559750040401,0.7689622451639814
539198,0.8614309587959339,0.13668790176291454,0.7212869505231267,0.5263875491944549,8.081735724592868,9702,102,2.53494249579265,1.167915032199795
561064,0.2591759108247631,0.1000216674619267,0.6748990765856171,0.46567926116362807,7.770684776457272,8835,175,2.897967081165681,1.2825110202516055
557961,0.7800015823669239,0.09289096458700548,0.6933854552833975,0.5673227952430983,8.122764569745424,9506,76,2.323879720691583,0.9155810367193222
563287,0.5571714622027403,0.08809631943646395,0.6814129586539974,0.5502723180592222,8.060593309488745,9506,81,2.3870943555331623,0.9162281381445387
