N,R,T,M,A,S,S_am,max,skew_a,skew_g
564864,0.7773299193815638,0.16310116700911423,0.8953311973777776,0.23590828944828407,8.431918505942274,8835,577,5.290239672589849,1.399300677743937
569011,0.704241306718153,0.17206114103546372,0.4954371930266784,0.15783116838532132,5.58843537414966,9702,131,1.565047707853172,1.578930342183046
575470,0.33054986993076585,0.12212638028126646,0.3800032689350008,0.1418585968391016,5.553766835016835,9504,121,1.3744841904044511,1.8354047487520615
575530,0.6217875965249452,0.13321660066722915,0.43316451127576866,0.14031932810866282,5.494545454545454,9900,115,1.4002412120995045,1.4517570093299328
577107,0.5495804754503217,0.09574917426179892,0.37896786397939164,0.12586444657387677,5.402222222222222,9900,101,1.306754413616077,1.6094382612269242
577615,0.3771013832685401,0.030933772846084884,0.2723650092283142,0.08996329678581444,5.344747474747475,9900,82,1.329414081261304,1.6140123144196004
577713,0.1361553351726503,0.00996153590243921,0.21045295464726,0.07496874243424327,5.339,10000,68,0.5477376991734106,0.8481145770592781
576816,0.41492496852110056,0.10550697131708865,0.3670266899031405,0.1335002702297001,5.389,10000,83,1.1583412417246042,1.488017787896259
577270,0.43338775324881706,0.0832678745218579,0.34249625825954544,0.1200455269307528,5.470808080808081,9900,116,1.1218964164072551,1.7070768404412693
574973,0.18640211682757044,0.12128361674275046,0.36458604672190725,0.13396618279155842,5.443824952661477,9506,152,1.6928084031256034,1.568175032548119
577642,0.21683669349237963,0.03149119492217866,0.24227296635211149,0.09267423595902574,5.341212121212121,9900,70,0.7453648116856262,0.9290107119180935
577383,0.4379954081114054,0.03360574543477604,0.9160442000568172,-0.008573731562438574,8.377525773195876,9700,1462,22.85422079443134,2.2368515926326755
561796,0.48585320990654157,0.12391134293331404,0.8883238666866742,0.13729002285666211,8.145964912280702,8550,716,7.091461621401353,2.325622760421441
577690,0.2078852407825112,0.01046351950388907,0.2146570746717893,0.07379112434667226,5.3312,10000,77,0.8930370946751393,0.8367576693195876
577313,0.43366315029968405,0.08352149739419272,0.3435676854866603,0.1226280645439534,5.4628,10000,88,1.1102538282028376,1.268951021841213
577436,0.1421792235812269,0.07684535682904692,0.2858666803716624,0.12771632010003692,5.5283,10000,73,0.9823966537958867,1.3074254101205458
574520,0.4743266079499015,0.13317945299207296,0.4133826359664903,0.14268153809219947,5.472207460941652,9409,114,1.3234931029959698,1.3687524161098472
576129,0.5335699336031476,0.12142988448608652,0.40607908027152995,0.13883536828979254,5.421691664115906,9801,102,1.2795386066516874,1.3097842826909982
571469,0.6568889188046195,0.12267701945105829,0.8949307756915685,0.1622831460826969,8.2009235395189,9312,664,7.108025824359229,1.5350092788482574
577701,0.16328724796404562,0.012578527417879298,0.21284578393245643,0.07715896898358844,5.362929292929293,9900,72,0.6391492637844242,0.8717349161682418
577404,0.17899458612155553,0.07366495840321605,0.2871374950876382,0.12593733617670172,5.445656565656566,9900,82,0.9400885671906432,1.275256180869498
577432,0.14264848363805355,0.0766574552334586,0.28541154920626555,0.1273048966237936,5.476464646464646,9900,77,0.9846912350432949,1.1224038633042075
577690,0.14437341307926846,0.030332738461994448,0.22699128546547662,0.09666839516166258,5.3553,10000,74,0.597349537242547,0.9068789634388565
573984,0.43845458042648755,0.09038697979536589,0.8928514918984856,0.09665267827167567,8.092022471910113,8900,996,10.832163327978098,1.6379016706562977
577684,0.13672229461275026,0.010017968907144945,0.20479124601507565,0.07523145079989303,5.3405,10000,70,0.5484238008380015,0.8604983437422778
576752,0.10091594592099284,0.10316811619724049,0.32243220921732835,0.13288435824826259,5.688638966989482,9603,117,1.4962768641058204,1.7134660004822648
577674,0.163436509151991,0.012584910242902739,0.21152580017406925,0.07671420937393185,5.3518,10000,66,0.6418521572426751,0.947451666913628
577667,0.16379917299233687,0.015075992821589982,0.21304061479941203,0.08010291484473658,5.316464646464646,9900,66,0.6261199790994076,0.9389194246646502
577640,0.2173850125833604,0.03160954181150757,0.2423207188641044,0.09105668484720685,5.261212121212121,9900,66,0.7420050330292364,1.019554386106068
551011,0.7229375702178281,0.1846552909935469,0.8893101800946804,0.26562656754150826,8.397229916897507,9025,529,5.227962587036645,1.3347449156799025
576794,0.10101759043326633,0.1032614916336924,0.3226691492600803,0.13335451594889172,5.532190195665895,9506,122,1.4871474294912204,1.685119446581281
573296,0.6244507141403642,0.12891981895451554,0.4065392949908179,0.1369320584447224,5.626679162761637,9603,109,1.235291677603599,1.3376871468793194
574776,0.6914856266551197,0.11391304847895048,0.3720430041106031,0.1253478262170718,5.566041666666667,9600,105,1.11594714329854,1.3210999337325466
575225,0.08833672720790396,0.11668325075218154,0.3490747019096156,0.1228685571244306,5.580860147870458,9603,215,1.9210948134171284,1.9346024571664007
574271,0.05019137448679662,0.05199391384937907,0.8889443335978229,0.024531386731438284,8.8475582437276,8928,3088,17.53529154517279,11.186423773072708
577015,0.11863123752178777,0.07998172656095316,0.27115986068536435,0.08374457272035868,5.529945923885318,9801,130,1.3784907867693998,1.4963438546368282
577606,0.15974121284143736,0.018659183401565055,0.9217866712864863,-0.02130170048129243,8.412222222222223,9900,1903,28.489963519362135,1.909766231181124
577063,0.07917816515248308,0.07864296998140843,0.24075609867084086,0.07885015672926206,5.5712,10000,110,1.4134232511053015,1.615335290300184
573144,0.6264588362203862,0.12912059548960683,0.4072431551463306,0.13616894860594492,5.530103092783505,9700,112,1.2453540334707478,1.4803529210317559
570535,0.7633204362938739,0.1500732933817416,0.45969816353680554,0.14879204512040398,5.611163178173488,9603,115,1.3928786915896822,1.4723871119812222
561130,0.6751074304612824,0.11408455660800204,0.8798379988940527,0.17299564438563905,7.886376233233566,9021,822,5.862588109205685,1.328309207211158
577028,0.11865086082975342,0.08007324902323523,0.2475173348518716,0.0831124156497444,5.519232731353943,9801,126,1.3825354218967332,1.5474116097419703
573531,0.04986153164893019,0.054767342027884094,0.8848147442157084,0.01357758436226469,8.72950035859431,8366,2268,16.445884249032467,10.041972410363533
577006,0.07934388432678613,0.07862626179488215,0.2413183783181707,0.07833744451753083,5.516391752577319,9700,128,1.437109777198231,1.7752710286406985
569179,0.6866835501689685,0.16547221952176627,0.48207218636071014,0.15378498884073338,5.5998947368421055,9500,125,1.4920289986430082,1.3977974520033158
571066,0.7279382973922565,0.14489271522280212,0.44746323975401087,0.14743171594363239,5.531326530612245,9800,121,1.365497820717183,1.3497411199809168
575807,0.04809511466680173,0.046560857263249364,0.8904426223604807,0.005973500279405518,8.751578282828282,9504,2014,19.196762725613844,12.12188601214507
574785,0.7428784314844585,0.1149052468131697,0.3767334454523414,0.12704244571697879,5.470808080808081,9900,93,1.0912620275085123,1.2806264328849506
557958,0.6834680139531655,0.13076884700299418,0.88714424734176,0.1740739642158509,8.248304093567251,8550,516,5.419638585828797,1.3486794577099832
568809,0.6881074627759457,0.16560681723894552,0.48288569606265486,0.15335995710768355,5.49946271222867,9306,113,1.5023943900483268,1.5434117838643082
575261,0.7212335138539158,0.10969331319968781,0.361356239949224,0.12226629416742978,5.443194834947413,9603,92,1.0497700115266593,1.1690607910168709
574462,0.7259757810444898,0.11740045926889824,0.38256853267017166,0.12965591364232593,5.506989082746658,9801,89,1.1223203071271446,1.4548794091607138
576501,0.04434804065323186,0.09283179954053457,0.27826597617645626,0.08977175199366355,5.709029066171923,9702,139,1.7297583093215263,1.7841126226965374
577652,0.04689391609859472,0.022898035621731712,0.181908190619146,0.06831171115402958,5.413,10000,67,0.47886452914808864,0.8729616543106286
