N,R,T,M,A,$\langle d \rangle$,S_am,max,$s_a$,$s_g$
577894,0.915214913803451,3.3191425513981195e-05,0.24377639027772913,0.06652831248531273,5.3688,10000,40,0.2661922660131446,0.8717794897218604
578071,0.7081369490667903,3.990294078387044e-05,0.23003448282694133,0.06613073124883936,5.3309,10000,40,0.2583221495631219,0.8192328612065856
577932,0.9194451722317659,3.4538234061669515e-05,0.24215788023336726,0.06621742899182544,5.3413,10000,42,0.2581610821796802,0.8304625039621576
578252,0.19832472680011204,5.662055979325009e-05,0.19467323053239402,0.06626847183162005,5.3405,10000,40,0.2530814735743729,0.7979629159062234
578261,0.19446153131328253,5.557001654409102e-05,0.19154572524340596,0.06595931592627596,5.3488,10000,41,0.2527030603847784,0.8261830587580993
577919,0.5886256951802984,0.01003430837279771,0.9254473055018395,-0.02117889811924358,7.2528,10000,201,7.810245931379099,1.973570295904198
578255,0.29228303082476875,5.362855477291771e-05,0.20261510947711894,0.06689411819808545,5.347171717171717,9900,40,0.2550402605082556,0.7980334793956508
578042,0.74711609075386,3.894427636931787e-05,0.23105820411268058,0.06633616666472852,5.3655,10000,42,0.2593052853986344,0.8469471721788051
578072,0.7082069026934728,4.073599766539604e-05,0.229789317319963,0.06666880955966362,5.3229,10000,42,0.2565408378997645,0.854766235404847
578185,0.48234471133803736,4.794522047601645e-05,0.21371354749557744,0.06603533913633791,5.369,10000,44,0.2609309586504062,0.7984794915890092
578128,0.6483500882164277,4.27035947017643e-05,0.22539155068265743,0.06620358981725673,5.3872,10000,41,0.258928034183556,0.8277918993470375
578215,0.3921352505617586,5.021295868955754e-05,0.20693470808258732,0.06666625365946387,5.415656565656565,9900,41,0.25293509679007226,0.8195485864506128
577921,0.9152551823117996,3.544937180974239e-05,0.24066267507888967,0.06622587110817896,5.3337,10000,44,0.2652283029438487,0.8491975479782717
577948,0.9194459466261572,3.733430889391408e-05,0.24193121921603924,0.06626062159401101,5.3989,10000,41,0.2581502319860354,0.8321251411621173
578270,0.1972516743052069,5.570338095173029e-05,0.1908924596423313,0.06670490853941402,5.3508,10000,41,0.25355287048155334,0.8742336039296932
578111,0.2607197479604388,0.011579556923428816,0.9049185614505976,0.008676424664376906,7.4685,10000,201,7.453783673078101,0.8588860074237681
578161,0.10888165833977587,0.012176069342901262,0.8950254036776766,0.01970228292753433,7.692727272727272,9900,201,7.304087159288631,1.2570993098268783
578266,0.19894166099852995,5.6452305653194365e-05,0.19050662337815666,0.06674899727548975,5.3792,10000,43,0.25294053364538027,0.8412144682745099
578214,0.391898027746551,5.07972072568049e-05,0.20467478562348382,0.06630417868776872,5.3433,10000,41,0.2550442680610385,0.8260377653594015
577940,0.9152267878507845,3.478699957715721e-05,0.2420501171982623,0.06688998391783627,5.347979797979798,9900,45,0.2629435504856995,0.8281683902156566
578179,0.4824799722250545,4.7283991465191584e-05,0.21273380637767075,0.06673295688039799,5.3919,10000,41,0.2445052891892021,0.8058144830801564
578256,0.19720469437880017,5.4540679437244364e-05,0.19101195639089202,0.06559257037335205,5.358484848484848,9900,45,0.25382696172963015,0.8565973326195753
578096,0.648572855669664,4.2718353341408134e-05,0.22541750646167813,0.06673168084335511,5.3866,10000,43,0.26277154071041775,0.8097317509398826
578161,0.5795048780393367,4.55140332472669e-05,0.22004517892596728,0.06646808081346733,5.3432,10000,43,0.2579286269444298,0.8424385752932854
578111,0.2607760206195413,0.011498933329316813,0.9041189417074544,0.010520099814887492,7.577676767676768,9900,201,7.409770499343974,1.16095257940317
578192,0.48240743728373425,4.726833148350844e-05,0.21343004589797668,0.06633420917179032,5.3692,10000,43,0.2541241703896423,0.8455204105942624
578059,0.2973065272412587,0.011252060964034267,0.9068861843526765,0.006209508887853663,7.5572,10000,201,7.44709462356512,1.6112195100754543
578109,0.29989558582290377,0.011252516400677575,0.9065826578784199,0.004222581289725793,7.4642,10000,201,7.506670967074216,1.1839269682408944
578274,0.12513929419113862,5.754800424730658e-05,0.1831647731192263,0.0663121822671051,5.4352,10000,42,0.2520678331640478,0.8480352451619839
577910,0.9202438309806802,3.298075099318183e-05,0.24385539037447582,0.06715002607397948,5.3397,10000,41,0.2660725504944908,0.8348056700926656
577910,0.9202438309806802,3.3354162312819306e-05,0.24130624463600878,0.0661222105713893,5.3636,10000,40,0.2617272263533643,0.8064978890942613
577986,0.8184809221488412,3.8017847289177816e-05,0.2339266313595009,0.06641333651475978,5.3385,10000,42,0.2651735196447598,0.8218395516507343
578033,0.8402633457193414,3.7076218412950624e-05,0.23900095093846818,0.0663911757588314,5.3486,10000,42,0.26179517005219205,0.8254384313255553
